ccn3,latlng,area,population
196,"[35.0, 33.0]",9251.0,1207361
232,"[15.0, 39.0]",117600.0,5352000
430,"[6.5, -9.5]",111369.0,5057677
060,"[32.33333333, -64.75]",54.0,63903
336,"[41.9, 12.45]",0.44,451
184,"[-21.23333333, -159.76666666]",236.0,18100
706,"[10.0, 49.0]",637657.0,15893219
894,"[-15.0, 30.0]",752612.0,18383956
862,"[8.0, -66.0]",916445.0,28435943
795,"[40.0, 60.0]",488100.0,6031187
008,"[41.0, 20.0]",28748.0,2837743
191,"[45.16666666, 15.5]",56594.0,4047200
826,"[54.0, -2.0]",242900.0,67215293
729,"[15.0, 30.0]",1886068.0,43849269
626,"[-8.83333333, 125.91666666]",14874.0,1318442
178,"[-1.0, 15.0]",342000.0,5657000
031,"[40.5, 47.5]",86600.0,10110116
404,"[1.0, 38.0]",580367.0,53771300
016,"[-14.33333333, -170.0]",199.0,55197
384,"[8.0, -5.0]",322463.0,26378275
686,"[14.0, -14.0]",196722.0,16743930
704,"[16.16666666, 107.83333333]",331212.0,97338583
222,"[13.83333333, -88.91666666]",21041.0,6486201
004,"[33.0, 65.0]",652230.0,40218234
663,"[18.0708, 63.0501]",53.0,38659
428,"[57.0, 25.0]",64559.0,1901548
320,"[15.5, -90.25]",108889.0,16858333
414,"[29.5, 45.75]",17818.0,4270563
678,"[1.0, 7.0]",964.0,219161
417,"[41.0, 75.0]",199951.0,6591600
616,"[52.0, 20.0]",312679.0,37950802
316,"[13.46666666, 144.78333333]",549.0,168783
288,"[8.0, -2.0]",238533.0,31072945
440,"[56.0, 24.0]",65300.0,2794700
051,"[40.0, 45.0]",29743.0,2963234
832,"[49.25, -2.16666666]",116.0,100800
308,"[12.11666666, -61.66666666]",344.0,112519
762,"[39.0, 71.0]",143100.0,9537642
231,"[8.0, 38.0]",1104300.0,114963583
732,"[24.5, -13.0]",266000.0,510713
504,"[32.0, -5.0]",446550.0,36910558
630,"[18.25, -66.5]",8870.0,3194034
162,"[-10.5, 105.66666666]",135.0,2072
554,"[-41.0, 174.0]",270467.0,5084300
096,"[4.5, 114.66666666]",5765.0,437483
254,"[4.0, -53.0]",83534.0,254541
570,"[-19.03333333, -169.86666666]",260.0,1470
642,"[46.0, 25.0]",238391.0,19286123
744,"[78.0, 20.0]",61399.0,2562
112,"[53.0, 28.0]",207600.0,9398861
591,"[9.0, -80.0]",75417.0,4314768
120,"[6.0, 12.0]",475442.0,26545864
203,"[49.75, 15.5]",78865.0,10698896
652,"[18.5, -63.41666666]",21.0,4255
300,"[39.0, 22.0]",131990.0,10715549
466,"[17.0, -4.0]",1240192.0,20250834
474,"[14.666667, -61.0]",1128.0,378243
250,"[46.0, 2.0]",551695.0,67391582
586,"[30.0, 70.0]",881912.0,220892331
604,"[-10.0, -76.0]",1285216.0,32971846
052,"[13.16666666, -59.53333333]",430.0,287371
304,"[72.0, -40.0]",2166086.0,56367
666,"[46.83333333, -56.33333333]",242.0,6069
148,"[15.0, 19.0]",1284000.0,16425859
348,"[47.0, 20.0]",93028.0,9749763
174,"[-12.16666666, 44.25]",1862.0,869595
050,"[24.0, 90.0]",147570.0,164689383
772,"[-9.0, -172.0]",12.0,1411
242,"[17.7134, 178.065]",18272.0,896444
156,"[35.0, 105.0]",9706961.0,1402112000
170,"[4.0, -72.0]",1141748.0,50882884
092,"[18.431383, -64.62305]",151.0,30237
012,"[28.0, 3.0]",2381741.0,44700000
462,"[3.25, 73.0]",300.0,540542
458,"[2.5, 112.5]",330803.0,32365998
136,"[19.3133, -81.2546]",264.0,65720
724,"[40.0, -4.0]",505992.0,47351567
372,"[53.0, -8.0]",70273.0,4994724
233,"[59.0, 26.0]",45227.0,1331057
600,"[-23.0, -58.0]",406752.0,7132530
858,"[-33.0, -56.0]",181034.0,3473727
710,"[-29.0, 24.0]",1221037.0,59308690
662,"[13.88333333, -60.96666666]",616.0,183629
548,"[-16.0, 167.0]",12189.0,307150
246,"[64.0, 26.0]",338424.0,5530719
752,"[62.0, 15.0]",450295.0,10353442
086,"[-6.0, 71.5]",60.0,3000
422,"[33.83333333, 35.83333333]",10452.0,6825442
840,"[38.0, -97.0]",9372610.0,329484123
152,"[-30.0, -71.0]",756102.0,19116209
574,"[-29.03333333, 167.95]",36.0,2302
500,"[16.75, -62.2]",102.0,4922
036,"[-27.0, 133.0]",7692024.0,25687041
084,"[17.25, -88.75]",22966.0,397621
328,"[5.0, -59.0]",214969.0,786559
496,"[46.0, 105.0]",1564110.0,3278292
798,"[-8.0, 178.0]",26.0,11792
214,"[19.0, -70.66666666]",48671.0,10847904
226,"[2.0, 10.0]",28051.0,1402985
659,"[17.33333333, -62.75]",261.0,53192
068,"[-17.0, -65.0]",1098581.0,11673029
524,"[28.0, 84.0]",147181.0,29136808
260,"[-49.25, 69.167]",7747.0,400
158,"[23.5, 121.0]",36193.0,23503349
204,"[9.5, 2.25]",112622.0,12123198
100,"[43.0, 25.0]",110879.0,6927288
498,"[47.0, 29.0]",33846.0,2617820
833,"[54.25, -4.5]",572.0,85032
064,"[27.5, 90.5]",38394.0,771612
116,"[13.0, 105.0]",181035.0,16718971
028,"[17.05, -61.8]",442.0,97928
332,"[19.0, -72.41666666]",27750.0,11402533
132,"[16.5388, 23.0418]",4033.0,555988
268,"[42.0, 43.5]",69700.0,3714000
108,"[-3.5, 30.0]",27834.0,11890781
044,"[25.0343, -77.3963]",13943.0,393248
480,"[-20.28333333, 57.55]",2040.0,1265740
434,"[25.0, 17.0]",1759540.0,6871287
454,"[-13.5, 34.0]",118484.0,19129955
484,"[23.0, -102.0]",1964375.0,128932753
748,"[-26.5, 31.5]",17364.0,1160164
598,"[-6.0, 147.0]",462840.0,8947027
212,"[15.41666666, -61.33333333]",751.0,71991
438,"[47.26666666, 9.53333333]",160.0,38137
643,"[60.0, 100.0]",17098242.0,144104080
376,"[31.47, 35.13]",20770.0,9216900
702,"[1.36666666, 103.8]",710.0,5685807
800,"[1.0, 32.0]",241550.0,45741000
703,"[48.66666666, 19.5]",49037.0,5458827
776,"[-20.0, -175.0]",747.0,105697
784,"[24.0, 54.0]",83600.0,9890400
175,"[-12.83333333, 45.16666666]",374.0,226915
740,"[4.0, -56.0]",163820.0,586634
860,"[41.0, 64.0]",447400.0,34232050
682,"[25.0, 45.0]",2149690.0,34813867
818,"[27.0, 30.0]",1002450.0,102334403
380,"[42.83333333, 12.83333333]",301336.0,59554023
450,"[-20.0, 47.0]",587041.0,27691019
540,"[-21.5, 165.5]",18575.0,271960
124,"[60.0, -95.0]",9984670.0,38005238
850,"[18.35, -64.933333]",347.0,106290
584,"[9.0, 168.0]",181.0,59194
478,"[20.0, -12.0]",1030700.0,4649660
270,"[13.46666666, -16.56666666]",10689.0,2416664
780,"[10.6918, -61.2225]",5130.0,1399491
690,"[-4.58333333, 55.66666666]",452.0,98462
392,"[36.0, 138.0]",377930.0,125836021
076,"[-10.0, -55.0]",8515767.0,212559409
760,"[35.0, 38.0]",185180.0,17500657
654,"[-15.95, -5.72]",394.0,53192
834,"[-6.0, 35.0]",945087.0,59734213
020,"[42.5, 1.5]",468.0,77265
364,"[32.0, 53.0]",1648195.0,83992953
768,"[8.0, 1.16666666]",56785.0,8278737
470,"[35.9375, 14.3754]",316.0,525285
410,"[37.0, 127.5]",100210.0,51780579
882,"[-13.58333333, -172.33333333]",2842.0,198410
276,"[51.0, 9.0]",357114.0,83240525
562,"[16.0, 8.0]",1267000.0,24206636
074,"[54.4208, 3.3464]",49.0,0
388,"[18.25, -77.5]",10991.0,2961161
558,"[13.0, -85.0]",130373.0,6624554
324,"[11.0, -10.0]",245857.0,13132792
660,"[18.25, -63.16666666]",91.0,13452
248,"[60.116667, 19.9]",1580.0,29458
056,"[50.83333333, 4.0]",30528.0,11555997
620,"[39.5, -8.0]",92090.0,10305564
208,"[56.0, 10.0]",43094.0,5831404
608,"[13.0, 122.0]",342353.0,109581085
876,"[-13.3, -176.2]",142.0,11750
040,"[47.33333333, 13.33333333]",83871.0,8917205
624,"[12.0, -15.0]",36125.0,1967998
492,"[43.73333333, 7.4]",2.02,39244
516,"[-22.0, 17.0]",825615.0,2540916
581,"[19.3, 166.633333]",34.2,300
188,"[10.0, -84.0]",51100.0,5094114
070,"[44.0, 18.0]",51209.0,3280815
446,"[22.16666666, 113.55]",30.0,649342
508,"[-18.25, 35.0]",801590.0,31255435
638,"[-21.15, 55.5]",2511.0,840974
499,"[42.5, 19.3]",13812.0,621718
408,"[40.0, 127.0]",120538.0,25778815
580,"[15.2, 145.75]",464.0,57557
804,"[49.0, 32.0]",603500.0,44134693
368,"[33.0, 44.0]",438317.0,40222503
239,"[-54.5, -37.0]",3903.0,30
024,"[-12.5, 18.5]",1246700.0,32866268
694,"[8.5, -11.5]",71740.0,7976985
583,"[6.91666666, 158.25]",702.0,115021
192,"[21.5, -80.0]",109884.0,11326616
796,"[21.75, -71.58333333]",948.0,38718
688,"[44.0, 21.0]",88361.0,6908224
218,"[-2.0, -77.5]",276841.0,17643060
234,"[62.0, -7.0]",1393.0,48865
010,"[-90.0, 0.0]",14000000.0,1000
275,"[31.9, 35.2]",6220.0,4803269
792,"[39.0, 35.0]",783562.0,84339067
296,"[1.41666666, 173.0]",811.0,119446
398,"[48.0196, 66.9237]",2724900.0,18754440
292,"[36.13333333, -5.35]",6.0,33691
352,"[65.0, -18.0]",103000.0,366425
585,"[7.5, 134.5]",459.0,18092
634,"[25.5, 51.25]",11586.0,2881060
756,"[47.0, 8.0]",41284.0,8654622
258,"[17.6797, 149.4068]",4167.0,280904
612,"[-25.06666666, -130.1]",47.0,56
400,"[31.0, 36.0]",89342.0,10203140
104,"[22.0, 98.0]",676578.0,54409794
764,"[15.0, 100.0]",513120.0,69799978
535,"[12.18, -68.25]",328.0,25987
533,"[12.5, -69.96666666]",180.0,106766
312,"[16.25, -61.583333]",1628.0,400132
566,"[10.0, 8.0]",923768.0,206139587
048,"[26.0, 50.55]",765.0,1701583
418,"[18.0, 105.0]",236800.0,7275556
166,"[12.1642, 96.871]",14.0,544
262,"[11.5, 43.0]",23200.0,988002
090,"[-8.0, 159.0]",28896.0,686878
334,"[53.0818, 73.5042]",412.0,0
356,"[20.0, 77.0]",3287590.0,1380004385
674,"[43.76666666, 12.41666666]",61.0,33938
442,"[49.75, 6.16666666]",2586.0,632275
534,"[18.033333, -63.05]",34.0,40812
238,"[-51.75, -59.0]",12173.0,2563
140,"[7.0, 21.0]",622984.0,4829764
072,"[-22.0, 24.0]",582000.0,2351625
531,"[12.116667, -68.933333]",444.0,155014
831,"[49.46666666, -2.58333333]",78.0,62999
578,"[62.0, 10.0]",323802.0,5379475
266,"[-1.0, 11.75]",267668.0,2225728
716,"[-20.0, 30.0]",390757.0,14862927
426,"[-29.5, 28.5]",30355.0,2142252
705,"[46.11666666, 14.81666666]",20273.0,2100126
032,"[-34.0, -64.0]",2780400.0,45376763
854,"[13.0, -2.0]",272967.0,20903278
887,"[15.0, 48.0]",527968.0,29825968
180,"[0.0, 25.0]",2344858.0,108407721
512,"[21.0, 57.0]",309500.0,5106622
360,"[-5.0, 120.0]",1904569.0,273523621
520,"[-0.53333333, 166.91666666]",21.0,10834
646,"[-2.0, 30.0]",26338.0,12952209
807,"[41.83333333, 22.0]",25713.0,2077132
,"[42.666667, 21.166667]",10908.0,1775378
528,"[52.5, 5.75]",41850.0,16655799
788,"[34.0, 9.0]",163610.0,11818618
728,"[7.0, 30.0]",619745.0,11193729
340,"[15.0, -86.5]",112492.0,9904608
670,"[13.25, -61.2]",389.0,110947
144,"[7.0, 81.0]",65610.0,21919000
344,"[22.267, 114.188]",1104.0,7500700
